code,description
M8491,"Disorder of continuity of bone, unspecified, shoulder region"
M8492,"Disorder of continuity of bone, unspecified, upper arm"
M8493,"Disorder of continuity of bone, unspecified, forearm"
M8494,"Disorder of continuity of bone, unspecified, hand"
M8495,"Disorder of continuity of bone, unspecified, pelvic region and thigh"
M8496,"Disorder of continuity of bone, unspecified, lower leg"
M8497,"Disorder of continuity of bone, unspecified, ankle and foot"
M8498,"Disorder of continuity of bone, unspecified, other site"
M8499,"Disorder of continuity of bone, unspecified, site unspecified"
M85,Other disorders of bone density and structure
M850,Fibrous dysplasia (monostotic)
M8500,"Fibrous dysplasia (monostotic), multiple sites"
M8501,"Fibrous dysplasia (monostotic), shoulder region"
M8502,"Fibrous dysplasia (monostotic), upper arm"
M8503,"Fibrous dysplasia (monostotic), forearm"
M8504,"Fibrous dysplasia (monostotic), hand"
M8505,"Fibrous dysplasia (monostotic), pelvic region and thigh"
M8506,"Fibrous dysplasia (monostotic), lower leg"
M8507,"Fibrous dysplasia (monostotic), ankle and foot"
M8508,"Fibrous dysplasia (monostotic), other site"
M8509,"Fibrous dysplasia (monostotic), site unspecified"
M851,Skeletal fluorosis
M8510,"Skeletal fluorosis, multiple sites"
M8511,"Skeletal fluorosis, shoulder region"
M8512,"Skeletal fluorosis, upper arm"
M8513,"Skeletal fluorosis, forearm"
M8514,"Skeletal fluorosis, hand"
M8515,"Skeletal fluorosis, pelvic region and thigh"
M8516,"Skeletal fluorosis, lower leg"
M8517,"Skeletal fluorosis, ankle and foot"
M8518,"Skeletal fluorosis, other site"
M8519,"Skeletal fluorosis, site unspecified"
M852,Hyperostosis of skull
M8528,"Hyperostosis of skull, other site"
M853,Osteitis condensans
M8530,"Osteitis condensans, multiple sites"
M8531,"Osteitis condensans, shoulder region"
M8532,"Osteitis condensans, upper arm"
M8533,"Osteitis condensans, forearm"
M8534,"Osteitis condensans, hand"
M8535,"Osteitis condensans, pelvic region and thigh"
M8536,"Osteitis condensans, lower leg"
M8537,"Osteitis condensans, ankle and foot"
M8538,"Osteitis condensans, other site"
M8539,"Osteitis condensans, site unspecified"
M854,Solitary bone cyst
M8540,"Solitary bone cyst, multiple sites"
M8541,"Solitary bone cyst, shoulder region"
M8542,"Solitary bone cyst, upper arm"
M8543,"Solitary bone cyst, forearm"
M8544,"Solitary bone cyst, hand"
M8545,"Solitary bone cyst, pelvic region and thigh"
M8546,"Solitary bone cyst, lower leg"
M8547,"Solitary bone cyst, ankle and foot"
M8548,"Solitary bone cyst, other site"
M8549,"Solitary bone cyst, site unspecified"
M855,Aneurysmal bone cyst
M8550,"Aneurysmal bone cyst, multiple sites"
M8551,"Aneurysmal bone cyst, shoulder region"
M8552,"Aneurysmal bone cyst, upper arm"
M8553,"Aneurysmal bone cyst, forearm"
M8554,"Aneurysmal bone cyst, hand"
M8555,"Aneurysmal bone cyst, pelvic region and thigh"
M8556,"Aneurysmal bone cyst, lower leg"
M8557,"Aneurysmal bone cyst, ankle and foot"
M8558,"Aneurysmal bone cyst, other site"
M8559,"Aneurysmal bone cyst, site unspecified"
M856,Other cyst of bone
M8560,"Other cyst of bone, multiple sites"
M8561,"Other cyst of bone, shoulder region"
M8562,"Other cyst of bone, upper arm"
M8563,"Other cyst of bone, forearm"
M8564,"Other cyst of bone, hand"
M8565,"Other cyst of bone, pelvic region and thigh"
M8566,"Other cyst of bone, lower leg"
M8567,"Other cyst of bone, ankle and foot"
M8568,"Other cyst of bone, other site"
M8569,"Other cyst of bone, site unspecified"
M858,Other specified disorders of bone density and structure
M8580,"Other specified disorders of bone density and structure, multiple sites"
M8581,"Other specified disorders of bone density and structure, shoulder region"
M8582,"Other specified disorders of bone density and structure, upper arm"
M8583,"Other specified disorders of bone density and structure, forearm"
M8584,"Other specified disorders of bone density and structure, hand"
M8585,"Other specified disorders of bone density and structure, pelvic region and thigh"
M8586,"Other specified disorders of bone density and structure, lower leg"
M8587,"Other specified disorders of bone density and structure, ankle and foot"
M8588,"Other specified disorders of bone density and structure, other site"
M8589,"Other specified disorders of bone density and structure, site unspecified"
M859,"Disorder of bone density and structure, unspecified"
M8590,"Disorder of bone density and structure, unspecified, multiple sites"
M8591,"Disorder of bone density and structure, unspecified, shoulder region"
M8592,"Disorder of bone density and structure, unspecified, upper arm"
M8593,"Disorder of bone density and structure, unspecified, forearm"
M8594,"Disorder of bone density and structure, unspecified, hand"
M8595,"Disorder of bone density and structure, unspecified, pelvic region and thigh"
M8596,"Disorder of bone density and structure, unspecified, lower leg"
M8597,"Disorder of bone density and structure, unspecified, ankle and foot"
M8598,"Disorder of bone density and structure, unspecified, other site"
M8599,"Disorder of bone density and structure, unspecified, site unspecified"
M86,Osteomyelitis
M860,Acute haematogenous osteomyelitis
M8600,"Acute haematogenous osteomyelitis, multiple sites"
M8601,"Acute haematogenous osteomyelitis, shoulder region"
M8602,"Acute haematogenous osteomyelitis, upper arm"
M8603,"Acute haematogenous osteomyelitis, forearm"
M8604,"Acute haematogenous osteomyelitis, hand"
M8605,"Acute haematogenous osteomyelitis, pelvic region and thigh"
M8606,"Acute haematogenous osteomyelitis, lower leg"
M8607,"Acute haematogenous osteomyelitis, ankle and foot"
M8608,"Acute haematogenous osteomyelitis, other site"
M8609,"Acute haematogenous osteomyelitis, site unspecified"
M861,Other acute osteomyelitis
M8610,"Other acute osteomyelitis, multiple sites"
M8611,"Other acute osteomyelitis, shoulder region"
M8612,"Other acute osteomyelitis, upper arm"
M8613,"Other acute osteomyelitis, forearm"
M8614,"Other acute osteomyelitis, hand"
M8615,"Other acute osteomyelitis, pelvic region and thigh"
M8616,"Other acute osteomyelitis, lower leg"
M8617,"Other acute osteomyelitis, ankle and foot"
M8618,"Other acute osteomyelitis, other site"
M8619,"Other acute osteomyelitis, site unspecified"
M862,Subacute osteomyelitis
M8620,"Subacute osteomyelitis, multiple sites"
M8621,"Subacute osteomyelitis, shoulder region"
M8622,"Subacute osteomyelitis, upper arm"
M8623,"Subacute osteomyelitis, forearm"
M8624,"Subacute osteomyelitis, hand"
M8625,"Subacute osteomyelitis, pelvic region and thigh"
M8626,"Subacute osteomyelitis, lower leg"
M8627,"Subacute osteomyelitis, ankle and foot"
M8628,"Subacute osteomyelitis, other site"
M8629,"Subacute osteomyelitis, site unspecified"
M863,Chronic multifocal osteomyelitis
M8630,"Chronic multifocal osteomyelitis, multiple sites"
M8631,"Chronic multifocal osteomyelitis, shoulder region"
M8632,"Chronic multifocal osteomyelitis, upper arm"
M8633,"Chronic multifocal osteomyelitis, forearm"
M8634,"Chronic multifocal osteomyelitis, hand"
M8635,"Chronic multifocal osteomyelitis, pelvic region and thigh"
M8636,"Chronic multifocal osteomyelitis, lower leg"
M8637,"Chronic multifocal osteomyelitis, ankle and foot"
M8638,"Chronic multifocal osteomyelitis, other site"
M8639,"Chronic multifocal osteomyelitis, site unspecified"
M864,Chronic osteomyelitis with draining sinus
M8640,"Chronic osteomyelitis with draining sinus, multiple sites"
M8641,"Chronic osteomyelitis with draining sinus, shoulder region"
M8642,"Chronic osteomyelitis with draining sinus, upper arm"
M8643,"Chronic osteomyelitis with draining sinus, forearm"
M8644,"Chronic osteomyelitis with draining sinus, hand"
M8645,"Chronic osteomyelitis with draining sinus, pelvic region and thigh"
M8646,"Chronic osteomyelitis with draining sinus, lower leg"
M8647,"Chronic osteomyelitis with draining sinus, ankle and foot"
M8648,"Chronic osteomyelitis with draining sinus, other site"
M8649,"Chronic osteomyelitis with draining sinus, site unspecified"
M865,Other chronic haematogenous osteomyelitis
M8650,"Other chronic haematogenous osteomyelitis, multiple sites"
M8651,"Other chronic haematogenous osteomyelitis, shoulder region"
M8652,"Other chronic haematogenous osteomyelitis, upper arm"
M8653,"Other chronic haematogenous osteomyelitis, forearm"
M8654,"Other chronic haematogenous osteomyelitis, hand"
M8655,"Other chronic haematogenous osteomyelitis, pelvic region and thigh"
M8656,"Other chronic haematogenous osteomyelitis, lower leg"
M8657,"Other chronic haematogenous osteomyelitis, ankle and foot"
M8658,"Other chronic haematogenous osteomyelitis, other site"
M8659,"Other chronic haematogenous osteomyelitis, site unspecified"
M866,Other chronic osteomyelitis
M8660,"Other chronic osteomyelitis, multiple sites"
M8661,"Other chronic osteomyelitis, shoulder region"
M8662,"Other chronic osteomyelitis, upper arm"
M8663,"Other chronic osteomyelitis, forearm"
M8664,"Other chronic osteomyelitis, hand"
M8665,"Other chronic osteomyelitis, pelvic region and thigh"
M8666,"Other chronic osteomyelitis, lower leg"
M8667,"Other chronic osteomyelitis, ankle and foot"
M8668,"Other chronic osteomyelitis, other site"
M8669,"Other chronic osteomyelitis, site unspecified"
M868,Other osteomyelitis
M8680,"Other osteomyelitis, multiple sites"
M8681,"Other osteomyelitis, shoulder region"
M8682,"Other osteomyelitis, upper arm"
M8683,"Other osteomyelitis, forearm"
M8684,"Other osteomyelitis, hand"
M8685,"Other osteomyelitis, pelvic region and thigh"
M8686,"Other osteomyelitis, lower leg"
M8687,"Other osteomyelitis, ankle and foot"
M8688,"Other osteomyelitis, other site"
M8689,"Other osteomyelitis, site unspecified"
M869,"Osteomyelitis, unspecified"
M8690,"Osteomyelitis, unspecified, multiple sites"
M8691,"Osteomyelitis, unspecified, shoulder region"
M8692,"Osteomyelitis, unspecified, upper arm"
M8693,"Osteomyelitis, unspecified, forearm"
M8694,"Osteomyelitis, unspecified, hand"
M8695,"Osteomyelitis, unspecified, pelvic region and thigh"
M8696,"Osteomyelitis, unspecified, lower leg"
M8697,"Osteomyelitis, unspecified, ankle and foot"
M8698,"Osteomyelitis, unspecified, other site"
M8699,"Osteomyelitis, unspecified, site unspecified"
M87,Osteonecrosis
M870,Idiopathic aseptic necrosis of bone
M8700,"Idiopathic aseptic necrosis of bone, multiple sites"
M8701,"Idiopathic aseptic necrosis of bone, shoulder region"
M8702,"Idiopathic aseptic necrosis of bone, upper arm"
M8703,"Idiopathic aseptic necrosis of bone, forearm"
M8704,"Idiopathic aseptic necrosis of bone, hand"
M8705,"Idiopathic aseptic necrosis of bone, pelvic region and thigh"
M8706,"Idiopathic aseptic necrosis of bone, lower leg"
M8707,"Idiopathic aseptic necrosis of bone, ankle and foot"
M8708,"Idiopathic aseptic necrosis of bone, other site"
M8709,"Idiopathic aseptic necrosis of bone, site unspecified"
M871,Osteonecrosis due to drugs
M8710,"Osteonecrosis due to drugs, multiple sites"
M8711,"Osteonecrosis due to drugs, shoulder region"
M8712,"Osteonecrosis due to drugs, upper arm"
M8713,"Osteonecrosis due to drugs, forearm"
M8714,"Osteonecrosis due to drugs, hand"
M8715,"Osteonecrosis due to drugs, pelvic region and thigh"
M8716,"Osteonecrosis due to drugs, lower leg"
M8717,"Osteonecrosis due to drugs, ankle and foot"
M8718,"Osteonecrosis due to drugs, other site"
M8719,"Osteonecrosis due to drugs, site unspecified"
M872,Osteonecrosis due to previous trauma
M8720,"Osteonecrosis due to previous trauma, multiple sites"
M8721,"Osteonecrosis due to previous trauma, shoulder region"
M8722,"Osteonecrosis due to previous trauma, upper arm"
M8723,"Osteonecrosis due to previous trauma, forearm"
M8724,"Osteonecrosis due to previous trauma, hand"
M8725,"Osteonecrosis due to previous trauma, pelvic region and thigh"
M8726,"Osteonecrosis due to previous trauma, lower leg"
M8727,"Osteonecrosis due to previous trauma, ankle and foot"
M8728,"Osteonecrosis due to previous trauma, other site"
M8729,"Osteonecrosis due to previous trauma, site unspecified"
M873,Other secondary osteonecrosis
M8730,"Other secondary osteonecrosis, multiple sites"
M8731,"Other secondary osteonecrosis, shoulder region"
M8732,"Other secondary osteonecrosis, upper arm"
M8733,"Other secondary osteonecrosis, forearm"
M8734,"Other secondary osteonecrosis, hand"
M8735,"Other secondary osteonecrosis, pelvic region and thigh"
M8736,"Other secondary osteonecrosis, lower leg"
M8737,"Other secondary osteonecrosis, ankle and foot"
M8738,"Other secondary osteonecrosis, other site"
M8739,"Other secondary osteonecrosis, site unspecified"
M878,Other osteonecrosis
M8780,"Other osteonecrosis, multiple sites"
M8781,"Other osteonecrosis, shoulder region"
M8782,"Other osteonecrosis, upper arm"
M8783,"Other osteonecrosis, forearm"
M8784,"Other osteonecrosis, hand"
M8785,"Other osteonecrosis, pelvic region and thigh"
M8786,"Other osteonecrosis, lower leg"
M8787,"Other osteonecrosis, ankle and foot"
M8788,"Other osteonecrosis, other site"
M8789,"Other osteonecrosis, site unspecified"
M879,"Osteonecrosis, unspecified"
M8790,"Osteonecrosis, unspecified, multiple sites"
M8791,"Osteonecrosis, unspecified, shoulder region"
M8792,"Osteonecrosis, unspecified, upper arm"
M8793,"Osteonecrosis, unspecified, forearm"
M8794,"Osteonecrosis, unspecified, hand"
M8795,"Osteonecrosis, unspecified, pelvic region and thigh"
M8796,"Osteonecrosis, unspecified, lower leg"
M8797,"Osteonecrosis, unspecified, ankle and foot"
M8798,"Osteonecrosis, unspecified, other site"
M8799,"Osteonecrosis, unspecified, site unspecified"
M88,Paget's disease of bone [osteitis deformans]
M880,Paget's disease of skull
M8808,"Paget's disease of skull, other site"
M888,Paget's disease of other bones
M8880,"Paget's disease of other bones, multiple sites"
M8881,"Paget's disease of other bones, shoulder region"
M8882,"Paget's disease of other bones, upper arm"
M8883,"Paget's disease of other bones, forearm"
M8884,"Paget's disease of other bones, hand"
M8885,"Paget's disease of other bones, pelvic region and thigh"
M8886,"Paget's disease of other bones, lower leg"
M8887,"Paget's disease of other bones, ankle and foot"
M8888,"Paget's disease of other bones, other site"
M8889,"Paget's disease of other bones, site unspecified"
M889,"Paget's disease of bone, unspecified"
M8890,"Paget's disease of bone, unspecified, multiple sites"
M8891,"Paget's disease of bone, unspecified, shoulder region"
M8892,"Paget's disease of bone, unspecified, upper arm"
M8893,"Paget's disease of bone, unspecified, forearm"
M8894,"Paget's disease of bone, unspecified, hand"
M8895,"Paget's disease of bone, unspecified, pelvic region and thigh"
M8896,"Paget's disease of bone, unspecified, lower leg"
M8897,"Paget's disease of bone, unspecified, ankle and foot"
M8898,"Paget's disease of bone, unspecified, other site"
M8899,"Paget's disease of bone, unspecified, site unspecified"
M89,Other disorders of bone
M890,Algoneurodystrophy
M8900,"Algoneurodystrophy, multiple sites"
M8901,"Algoneurodystrophy, shoulder region"
